idmun,nmun,lat,lon,dh,ides
135,Rafael Delgado               ,18.8105,-97.0734,6,30
138,Río Blanco                   ,18.8389,-97.1395,6,30
140,San Andrés Tenejapan         ,18.7887,-97.0932,6,30
162,Tenampa                      ,19.2486,-96.8849,6,30
164,Teocelo                      ,19.3863,-96.9722,6,30
165,Tepatlaxco                   ,19.0673,-96.84200000000001,6,30
171,Texhuacán                    ,18.6206,-97.0387,6,30
182,Tlalnelhuayocan              ,19.5647,-96.9739,6,30
184,Tlaquilpa                    ,18.6123,-97.1189,6,30
185,Tlilapan                     ,18.8057,-97.0991,6,30
187,Tonayán                      ,19.6829,-96.9215,6,30
190,Tuxtilla                     ,18.239,-95.8947,6,30
194,Villa Aldama                 ,19.6489,-97.223,6,30
199,Zaragoza                     ,17.9557,-94.6424,6,30
206,Nanchital de Lázaro Cárdenas ,18.0721,-94.4112,6,30
2,Azcapotzalco                 ,19.4841,-99.1844,6,9
6,Iztacalco                    ,19.3959,-99.0976,6,9
14,Benito Juárez                ,19.372,-99.1579,6,9
15,Cuauhtémoc                   ,19.4416,-99.1519,6,9
39,Mineral del Monte            ,20.1405,-98.6715,6,13
65,Tetepango                    ,20.1027,-99.1561,6,13
70,Tlahuelilpan                 ,20.1306,-99.2347,6,13
27,Chapultepec                  ,19.2012,-99.5619,6,15
30,Chiconcuac                   ,19.5527,-98.8953,6,15
34,Ecatzingo                    ,18.9587,-98.7526,6,15
44,Jaltenco                     ,19.7522,-99.094,6,15
53,Melchor Ocampo               ,19.7104,-99.1435,6,15
54,Metepec                      ,19.2524,-99.6045,6,15
55,Mexicaltzingo                ,19.2111,-99.5869,6,15
70,La Paz                       ,19.3584,-98.9766,6,15
76,San Mateo Atenco             ,19.2642,-99.5297,6,15
83,Temamatla                    ,19.2027,-98.8699,6,15
94,Tepetlixpa                   ,19.0295,-98.8197,6,15
98,Texcalyacac                  ,19.1322,-99.5031,6,15
109,Tultitlán                    ,19.6475,-99.1692,6,15
31,Zacatepec                    ,18.6554,-99.1943,6,17
1,Abasolo                      ,25.9453,-100.4,6,19
1,Aguascalientes               ,21.8798,-102.296,6,1
10,El Llano                     ,21.9189,-101.9653,6,1
20,La Concordia                 ,16.1167,-92.6879,6,7
47,Hidalgo                      ,25.9757,-100.4469,6,19
48,Santa Catarina               ,25.6744,-100.4617,6,19
49,Santiago                     ,25.4271,-100.15299999999999,6,19
50,Vallecillo                   ,26.6596,-99.9866,6,19
51,Villaldama                   ,26.4982,-100.4246,6,19
1,Abejones                     ,17.4358,-96.6082,6,20
3,Asunción Cacalotepec         ,17.0353,-95.9566,6,20
4,Asunción Cuyotepeji          ,17.9309,-97.6744,6,20
5,Asunción Ixtaltepec          ,16.5038,-95.057,6,20
21,Copainalá                    ,17.0936,-93.2106,6,7
6,Asunción Nochixtlán          ,17.4589,-97.2252,6,20
7,Asunción Ocotlán             ,16.7592,-96.7213,6,20
8,Asunción Tlacolulita         ,16.3003,-95.7263,6,20
9,Ayotzintepec                 ,17.6767,-96.1333,6,20
